date,postcount,likecount,commentcount
2013-08-16,7,27,46
2013-08-17,2,4,4
2013-08-18,2,7,0
2013-08-19,6,5,2
2013-08-20,7,10,2
2013-08-21,5,16,14
2013-08-22,9,22,57
2013-08-23,7,11,12
2013-08-24,5,4,1
2013-08-25,5,2,1
2013-08-26,5,7,11
2013-08-27,3,8,14
2013-08-28,3,1,0
